match_id;status;DURASI;hero_1;hero_2;hero_3;hero_4;hero_5;R1;R2;R3;R4;R5;L1;L2;L3;L4;L5;K;D;A;NET;GPM;XPM;DMG;HEAL;BLD;WARDS_KUNING;WARDS_BIRU;IH1_1;IH1_2;IH1_3;IH1_4;IH1_5;IH1_6;IH1_7;IH2_1;IH2_2;IH2_3;IH2_4;IH2_5;IH2_6;IH2_7;IH3_1;IH3_2;IH3_3;IH3_4;IH3_5;IH3_6;IH3_7;IH4_1;IH4_2;IH4_3;IH4_4;IH4_5;IH4_6;IH4_7;IH5_1;IH5_2;IH5_3;IH5_4;IH5_5;IH5_6;IH5_7
6808348917;L;00:22:19;97;31;18;19;120;Core;Support;Core;Support;Core;Bottom;Top;Top;Bottom;Bottom;7;23;16;32500;1600;1900;25000;0;772;11;17;29;1;34;11;232;73;945;43;0;593;36;29;0;946;172;116;63;2;36;252;358;180;188;34;244;1;0;840;41;11;36;174;29;240;828
6806142086;L;00:30:31;33;19;109;102;40;Core;Support;Core;Support;Core;Top;Top;Bottom;Bottom;Middle;11;38;22;44300;1700;1800;71400;6200;4500;14;23;1;29;187;908;8;21;840;180;244;36;0;1;31;349;116;170;63;236;598;24;361;102;43;188;36;0;214;990;41;36;116;0;29;267;589
6808178906;W;00:46:40;98;64;137;80;111;Core;Support;Core;Core;Support;Top;Bottom;Middle;Bottom;Middle;29;38;71;91400;2200;3200;111300;16400;20000;22;31;1;116;273;117;96;226;311;102;214;254;36;0;0;290;50;1;119;116;110;30;364;31;75;75;29;75;33;834;29;37;108;36;92;0;825
6811140084;W;00:49:51;87;100;22;33;41;Support;Support;Core;Core;Core;Jungle;Jungle;Middle;Top;Bottom;53;15;128;124000;2700;3600;180000;4800;24500;23;36;216;229;254;36;218;214;306;1;50;108;116;30;33;571;235;108;110;48;273;116;311;1;908;116;29;235;110;834;116;160;117;158;154;133;376
6817224250;L;00:41:50;88;29;22;5;93;Support;Core;Core;Support;Core;Bottom;Top;Middle;Top;Middle;12;41;23;65800;2000;2200;94900;1700;949;20;38;37;36;102;244;214;40;331;50;210;1;908;31;37;949;214;176;100;41;232;108;589;40;218;37;102;36;214;676;143;108;116;598;63;160;381
6806158709;W;00:44:10;11;120;69;7;87;Core;Core;Core;Support;Support;Bottom;Middle;Top;Bottom;Top;46;20;81;105500;2700;3600;114100;195;22200;21;37;117;604;249;135;263;116;376;63;600;30;174;116;208;585;110;235;48;1;108;116;311;40;1;0;214;265;256;362;244;180;254;34;30;40;336
6810932324;W;00:36:37;5;33;137;100;6;Support;Core;Core;Support;Core;Bottom;Top;Middle;Middle;Bottom;43;14;95;82200;2500;3200;98200;4500;32900;17;30;102;214;88;185;0;43;358;1;232;242;29;908;0;675;50;116;119;1;273;41;289;214;102;0;1;185;36;680;263;147;123;63;141;116;381
6806291706;L;00:35:33;135;10;78;106;75;Support;Core;Core;Core;Support;Bottom;Bottom;Top;Middle;Top;15;38;32;54300;1800;2000;96400;4400;1800;15;31;102;29;37;79;36;218;376;63;36;116;108;170;596;573;36;908;1;65;11;50;949;50;116;41;569;108;36;358;188;180;102;244;36;218;212
6813739089;W;00:47:15;19;120;22;5;4;Support;Core;Core;Support;Core;Top;Top;Middle;Bottom;Bottom;37;19;104;107600;2500;3400;150200;6300;18000;22;40;100;210;1;36;30;50;335;29;226;1;908;143;256;834;256;176;1;48;235;108;300;102;37;43;931;36;0;336;208;147;116;158;249;117;381
6817320059;W;00:49:33;31;81;120;69;9;Support;Core;Core;Core;Support;Bottom;Bottom;Middle;Top;Top;30;20;84;126600;2700;3400;113400;9700;20100;23;43;931;102;40;36;188;43;290;117;600;151;63;123;112;638;600;174;143;180;256;119;300;600;110;116;220;235;108;289;210;908;96;29;30;102;585
